,imdbId,title_year,country,duration,director_name,actor_1_name,actor_2_name,actor_3_name,movie_imdb_link
0,114709,1995.0,USA,74.0,John Lasseter,Tom Hanks,John Ratzenberger,Jim Varney,http://www.imdb.com/title/tt0114709/?ref_=fn_tt_tt_1
1,113189,1995.0,UK,130.0,Martin Campbell,Izabella Scorupco,Joe Don Baker,Tch?ky Karyo,http://www.imdb.com/title/tt0113189/?ref_=fn_tt_tt_1
2,112346,1995.0,USA,114.0,Rob Reiner,Shawna Waldron,Samantha Mathis,Wendie Malick,http://www.imdb.com/title/tt0112346/?ref_=fn_tt_tt_1
3,113987,1995.0,USA,212.0,Oliver Stone,Anthony Hopkins,Bob Hoskins,Joan Allen,http://www.imdb.com/title/tt0113987/?ref_=fn_tt_tt_1
4,112760,1995.0,USA,124.0,Renny Harlin,Christopher Masterson,Frank Langella,Matthew Modine,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1
5,112641,1995.0,USA,178.0,Martin Scorsese,Robert De Niro,Don Rickles,Kevin Pollak,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1
6,114388,1995.0,USA,136.0,Ang Lee,Alan Rickman,Kate Winslet,Tom Wilkinson,http://www.imdb.com/title/tt0114388/?ref_=fn_tt_tt_1
7,113101,1995.0,USA,110.0,Allison Anders,Salma Hayek,Alicia Witt,Lili Taylor,http://www.imdb.com/title/tt0113101/?ref_=fn_tt_tt_1
8,112281,1995.0,USA,90.0,Steve Oedekerk,Bruce Spence,Bob Gunton,Sophie Okonedo,http://www.imdb.com/title/tt0112281/?ref_=fn_tt_tt_1
9,113845,1995.0,USA,105.0,Joseph Ruben,Vincent Pastore,Robert Blake,Aida Turturro,http://www.imdb.com/title/tt0113845/?ref_=fn_tt_tt_1
10,113161,1995.0,USA,105.0,Barry Sonnenfeld,Delroy Lindo,Rene Russo,Jon Gries,http://www.imdb.com/title/tt0113161/?ref_=fn_tt_tt_1
11,112722,1995.0,USA,123.0,Jon Amiel,William McNamara,Holly Hunter,Harry Connick Jr.,http://www.imdb.com/title/tt0112722/?ref_=fn_tt_tt_1
12,112401,1995.0,France,132.0,Richard Donner,Muse Watson,Sylvester Stallone,Kelly Rowan,http://www.imdb.com/title/tt0112401/?ref_=fn_tt_tt_1
13,113627,1995.0,USA,111.0,Mike Figgis,Nicolas Cage,Valeria Golino,Julian Sands,http://www.imdb.com/title/tt0113627/?ref_=fn_tt_tt_1
14,112431,1995.0,Australia,91.0,Chris Noonan,Miriam Margolyes,Christine Cavanaugh,Roscoe Lee Browne,http://www.imdb.com/title/tt0112431/?ref_=fn_tt_tt_1
15,112818,1995.0,UK,122.0,Tim Robbins,Lois Smith,Celia Weston,Robert Prosky,http://www.imdb.com/title/tt0112818/?ref_=fn_tt_tt_1
16,112697,1995.0,USA,97.0,Amy Heckerling,Donald Faison,Dan Hedaya,Elisa Donovan,http://www.imdb.com/title/tt0112697/?ref_=fn_tt_tt_1
17,114279,1995.0,UK,104.0,Richard Loncraine,Robert Downey Jr.,Jim Broadbent,Kristin Scott Thomas,http://www.imdb.com/title/tt0114279/?ref_=fn_tt_tt_1
18,113855,1995.0,USA,101.0,Paul W.S. Anderson,Christopher Lambert,Cary-Hiroyuki Tagawa,Bridgette Wilson-Sampras,http://www.imdb.com/title/tt0113855/?ref_=fn_tt_tt_1
19,114681,1995.0,USA,106.0,Gus Van Sant,Kurtwood Smith,Wayne Knight,Holland Taylor,http://www.imdb.com/title/tt0114681/?ref_=fn_tt_tt_1
20,114369,1995.0,USA,127.0,David Fincher,Morgan Freeman,Brad Pitt,Reg E. Cathey,http://www.imdb.com/title/tt0114369/?ref_=fn_tt_tt_1
21,114148,1995.0,USA,84.0,Mike Gabriel,Christian Bale,Frank Welker,Irene Bedard,http://www.imdb.com/title/tt0114148/?ref_=fn_tt_tt_1
22,114814,1995.0,USA,106.0,Bryan Singer,Kevin Spacey,Chazz Palminteri,Kevin Pollak,http://www.imdb.com/title/tt0114814/?ref_=fn_tt_tt_1
23,113321,1995.0,USA,103.0,Jodie Foster,Robert Downey Jr.,Holly Hunter,Steve Guttenberg,http://www.imdb.com/title/tt0113321/?ref_=fn_tt_tt_1
24,113419,1995.0,USA,96.0,Frank Oz,Steve Coogan,Vincent Kartheiser,David Keith,http://www.imdb.com/title/tt0113419/?ref_=fn_tt_tt_1
25,116260,1996.0,USA,101.0,John Schlesinger,Joe Mantegna,Beverly D'Angelo,Philip Baker Hall,http://www.imdb.com/title/tt0116260/?ref_=fn_tt_tt_1
26,113862,1995.0,USA,143.0,Stephen Herek,Alicia Witt,Olympia Dukakis,Jean Louisa Kelly,http://www.imdb.com/title/tt0113862/?ref_=fn_tt_tt_1
27,113118,1995.0,USA,97.0,F. Gary Gray,Nia Long,John Witherspoon,Tony Cox,http://www.imdb.com/title/tt0113118/?ref_=fn_tt_tt_1
28,116367,1996.0,USA,108.0,Robert Rodriguez,Quentin Tarantino,Salma Hayek,Cheech Marin,http://www.imdb.com/title/tt0116367/?ref_=fn_tt_tt_1
29,116731,1996.0,USA,118.0,Brian Gibson,Joseph Gordon-Levitt,Demi Moore,Anne Heche,http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1
30,114660,1995.0,USA,115.0,Gary Fleder,Steve Buscemi,Bill Cobbs,Treat Williams,http://www.imdb.com/title/tt0114660/?ref_=fn_tt_tt_1
31,118158,1996.0,USA,129.0,Ridley Scott,Jeff Bridges,Jason Marsden,Ethan Embry,http://www.imdb.com/title/tt0118158/?ref_=fn_tt_tt_1
32,117002,1996.0,USA,108.0,Stephen Frears,Julia Roberts,Bronagh Gallagher,George Cole,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1
33,114825,1995.0,USA,100.0,Wes Craven,John Witherspoon,W. Earl Brown,Allen Payne,http://www.imdb.com/title/tt0114825/?ref_=fn_tt_tt_1
34,115759,1996.0,USA,108.0,John Woo,Delroy Lindo,Samantha Mathis,Bob Gunton,http://www.imdb.com/title/tt0115759/?ref_=fn_tt_tt_1
35,115907,1996.0,USA,111.0,Harold Becker,Al Pacino,Martin Landau,Bridget Fonda,http://www.imdb.com/title/tt0115907/?ref_=fn_tt_tt_1
36,115734,1996.0,USA,91.0,Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,http://www.imdb.com/title/tt0115734/?ref_=fn_tt_tt_1
37,116483,1996.0,USA,92.0,Dennis Dugan,Adam Sandler,Kevin Nealon,Frances Bay,http://www.imdb.com/title/tt0116483/?ref_=fn_tt_tt_1
38,112579,1995.0,USA,135.0,Clint Eastwood,Clint Eastwood,Meryl Streep,Debra Monk,http://www.imdb.com/title/tt0112579/?ref_=fn_tt_tt_1
39,112573,1995.0,USA,178.0,Mel Gibson,Mhairi Calvey,Patrick McGoohan,James Robinson,http://www.imdb.com/title/tt0112573/?ref_=fn_tt_tt_1
40,75314,1976.0,USA,110.0,Martin Scorsese,Robert De Niro,Albert Brooks,Peter Boyle,http://www.imdb.com/title/tt0075314/?ref_=fn_tt_tt_1
41,113326,1995.0,Hong Kong,89.0,Stanley Tong,Fran?oise Yip,Anita Mui,Garvin Cross,http://www.imdb.com/title/tt0113326/?ref_=fn_tt_tt_1
42,103859,1992.0,USA,117.0,Reginald Hudlin,John Witherspoon,Eartha Kitt,Geoffrey Holder,http://www.imdb.com/title/tt0103859/?ref_=fn_tt_tt_1
43,116324,1996.0,USA,92.0,David O. Russell,Lily Tomlin,Mary Tyler Moore,David Patrick Kelly,http://www.imdb.com/title/tt0116324/?ref_=fn_tt_tt_1
44,113451,1995.0,USA,107.0,William Friedkin,Michael Biehn,Chazz Palminteri,Linda Fiorentino,http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1
45,118055,1996.0,USA,124.0,Jon Avnet,Joe Mantegna,Stockard Channing,Raymond Cruz,http://www.imdb.com/title/tt0118055/?ref_=fn_tt_tt_1
46,112585,1995.0,USA,98.0,Edward Burns,Shari Albert,Michael McGlone,Maxine Bahns,http://www.imdb.com/title/tt0112585/?ref_=fn_tt_tt_1
47,112442,1995.0,USA,119.0,Michael Bay,Will Smith,Tch?ky Karyo,Theresa Randle,http://www.imdb.com/title/tt0112442/?ref_=fn_tt_tt_1
48,112384,1995.0,USA,140.0,Ron Howard,Tom Hanks,Miko Hughes,Kathleen Quinlan,http://www.imdb.com/title/tt0112384/?ref_=fn_tt_tt_1
49,114287,1995.0,USA,139.0,Michael Caton-Jones,Liam Neeson,Jason Flemyng,Eric Stoltz,http://www.imdb.com/title/tt0114287/?ref_=fn_tt_tt_1
50,112462,1995.0,USA,121.0,Joel Schumacher,Michael Gough,Rene Auberjonois,Debi Mazar,http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1
51,112642,1995.0,USA,100.0,Brad Silberling,Eric Idle,Fred Rogers,Cathy Moriarty,http://www.imdb.com/title/tt0112642/?ref_=fn_tt_tt_1
52,112715,1995.0,USA,109.0,Frank Marshall,Dylan Walsh,Joe Don Baker,Grant Heslov,http://www.imdb.com/title/tt0112715/?ref_=fn_tt_tt_1
53,112740,1995.0,USA,123.0,Tony Scott,Denzel Washington,Viggo Mortensen,Ricky Schroder,http://www.imdb.com/title/tt0112740/?ref_=fn_tt_tt_1
